link_id,total_services,1_slot_services,2_slot_services,4_slot_services
0,6,6,0,0
1,0,0,0,0
2,6,6,0,0
3,6,6,0,0
4,2,2,0,0
5,1,1,0,0
6,0,0,0,0
7,1,1,0,0
8,3,3,0,0
9,2,2,0,0
10,2,2,0,0
11,3,3,0,0
12,2,2,0,0
13,2,2,0,0
14,2,2,0,0
15,5,5,0,0
16,3,3,0,0
17,0,0,0,0
18,2,2,0,0
19,2,2,0,0
20,7,7,0,0
21,9,9,0,0
22,8,8,0,0
23,8,8,0,0
24,4,4,0,0
25,6,6,0,0
26,3,3,0,0
27,1,1,0,0
28,4,4,0,0
29,6,6,0,0
30,3,3,0,0
31,4,4,0,0
32,0,0,0,0
33,2,2,0,0
34,1,1,0,0
35,0,0,0,0
36,2,2,0,0
37,2,2,0,0
38,5,5,0,0
39,5,5,0,0
40,7,7,0,0
41,3,3,0,0
42,1,1,0,0
43,5,5,0,0
44,2,2,0,0
45,6,6,0,0
46,5,5,0,0
47,6,6,0,0
48,8,8,0,0
49,3,3,0,0
50,2,2,0,0
51,2,2,0,0
52,6,6,0,0
53,3,3,0,0
54,1,1,0,0
55,0,0,0,0
56,1,1,0,0
57,1,1,0,0
58,5,5,0,0
59,0,0,0,0
